temperature,heat_index,humidity,pressure,wind_direction,wind_speed,precipitation,gust_speed,sealevel_pressure,conditions
48,1.21,59,30.46,177.39,5.62,101,3.37,29.68,Smoke
48,1.21,58,30.46,176.78,3.37,101,7.87,30.13,Smoke
48,1.23,57,30.46,158.75,3.37,102,9,30.49,Smoke
48,1.21,60,30.46,137.71,3.37,102,6.75,30.45,Smoke
48,1.17,62,30.46,104.95,5.62,102,6.75,30.33,Smoke
48,1.21,64,30.46,120.2,5.62,102,4.5,30.4,Smoke
49,1.2,72,30.46,112.45,6.75,101,10.12,30.39,Smoke
49,1.24,71,30.46,122.97,5.62,101,3.37,30.17,Smoke
49,1.23,80,30.46,101.18,4.5,101,5.62,30.1,Smoke
49,1.21,85,30.46,141.87,4.5,101,6.75,30.33,Smoke
49,1.23,93,30.47,120.55,2.25,101,10.12,30.39,Smoke
49,1.21,98,30.47,144.19,3.37,101,9,30.11,Smoke
49,1.22,99,30.47,139.8,6.75,102,11.25,30.37,Smoke
50,1.21,99,30.47,140.92,2.25,102,5.62,30.35,Smoke
50,1.23,99,30.47,147.61,5.62,102,6.75,29.95,Smoke
50,1.22,99,30.47,113.78,4.5,102,5.62,30.08,Smoke
50,1.21,99,30.47,123.03,10.12,101,14.62,30.68,Smoke
50,1.22,99,30.47,173.73,6.75,101,9,30.52,Smoke
50,1.22,98,30.47,91.43,6.75,101,4.5,30.2,Clear
50,1.2,98,30.47,109.74,6.75,101,9,30.11,Clear
50,1.2,98,30.47,143.53,2.25,101,13.5,29.87,Clear
50,1.2,97,30.47,146.76,5.62,101,12.37,30.06,Clear
50,1.21,97,30.47,158.35,4.5,100,10.12,30.01,Clear
50,1.22,97,30.47,166.05,5.62,100,12.37,30.01,Smoke
50,1.22,96,30.47,151.82,5.62,98,12.37,30.13,Smoke
50,1.22,96,30.47,152.52,6.75,95,7.87,30.33,Smoke
50,1.24,95,30.47,127.82,7.87,92,4.5,30.13,Smoke
50,1.23,95,30.47,157.58,6.75,91,6.75,30.29,Smoke
50,1.23,95,30.47,172.96,7.87,92,5.62,30.19,Smoke
50,1.23,95,30.47,143.82,6.75,92,7.87,30.22,Smoke
50,1.24,94,30.47,154.03,5.62,90,3.37,30,Smoke
50,1.2,93,30.47,165.93,4.5,88,5.62,30.31,Smoke
50,1.24,93,30.47,139.82,7.87,84,7.87,30.11,Smoke
49,1.21,93,30.47,166.07,9,81,7.87,30.47,Smoke
50,1.24,93,30.47,116.16,5.62,80,5.62,30.63,Smoke
50,1.2,92,30.47,157.48,4.5,81,4.5,30.19,Smoke
50,1.19,91,30.47,112.27,7.87,81,3.37,29.84,Smoke
50,1.25,90,30.47,133.69,6.75,88,5.62,30.09,Smoke
50,1.25,88,30.47,140.64,6.75,91,9,30.4,Smoke
50,1.23,87,30.47,52.89,1.12,92,7.87,30.41,Smoke
50,1.21,86,30.47,132.66,4.5,94,6.75,30.06,Smoke
50,1.25,85,30.46,138.35,5.62,94,4.5,29.87,Smoke
